id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
775458,Harbour Front + City Center + Cozy ,2007350,Mandy & Henry,Wan Chai,22.28067331,114.1787803,Entire home/apt,1347,2,295,12/11/2018,4.05,1,44
2858857,"Luxurious Rural Retreat, Lantau",10560828,Hugh,Islands,22.26645147,113.9943017,Private room,572,2,146,12/11/2018,2.66,1,337
3853127,"Room in a modern apt, in cool  spot",19863691,Michael,Central & Western,22.28634524,114.1456563,Private room,721,1,140,12/11/2018,2.77,1,342
22217342,Luxury home in tung chung,162344858,Asha,Islands,22.29286535,113.9506387,Private room,603,1,102,12/11/2018,9.62,1,117
15907956,Hong Kong Island balcony apartment,52762583,Brian,Eastern,22.28838038,114.1984098,Entire home/apt,1199,1,73,12/11/2018,3.04,1,42
1157314,"NEW REFURB, 1 min to MTR",804955,James & Rebecca,Central & Western,22.28612299,114.1375473,Entire home/apt,729,2,69,12/11/2018,2.25,1,236
17815211,"***Clean, tranquil, & cosy STUDIO - Hollywood Rd**",18968203,Jaeden,Central & Western,22.28606218,114.1489795,Entire home/apt,799,2,43,12/11/2018,2.42,1,194
17756456,Central Flat in Trendy Tai Hang,44805555,Sally,Wan Chai,22.27881295,114.1931241,Entire home/apt,697,1,40,12/11/2018,1.98,1,302
8625100,"Spacious apartmnt, Amazingly Comfy!",45109303,Justin,Yuen Long,22.43643192,114.0327423,Private room,313,4,39,12/11/2018,1.24,1,92
14015541,"Modern studio apartment, easy access to anywhere",60364581,Ricky,Islands,22.29417877,114.0145428,Entire home/apt,854,2,37,12/11/2018,1.36,1,40
23690283,3分鐘太子站體現香港人情味懷舊特色民宿1人獨立房間享用雙層床歡迎2人入住鄰近理工城市浸會大學雅思考場,159904054,Lee,Sham Shui Po,22.32765238,114.1639966,Private room,227,1,31,12/11/2018,4.37,1,32
23004200,"Cozy Studio""One minute away from Times Square MTR""",69496229,Alex,Wan Chai,22.27940572,114.1826897,Entire home/apt,791,1,29,12/11/2018,7.02,1,141
27329718,"Safe & Cozy & Clean
2BR Apartment 
Causeway bay",57250303,Park,Wan Chai,22.27993557,114.184266,Entire home/apt,1496,1,19,12/11/2018,6.55,1,48
27879626,"Secret Hideaway in POHO SheungWan, Private Terrace",210615635,Diana,Central & Western,22.28384434,114.1483303,Entire home/apt,1199,1,16,12/11/2018,6.58,1,93
16361082,Cozy renovated flat in HK center,64314565,Giovanni,Central & Western,22.28768746,114.1483387,Entire home/apt,603,4,14,12/11/2018,0.61,1,25
24929064,Le Perchoir - Rooftop western flat in Yau Ma Tei,13355455,Thibaut,Yau Tsim Mong,22.31083424,114.1691422,Private room,321,2,14,12/11/2018,4,1,318
26088238,Wan chai MTR 1 mins expo 5 mins by walk 灣仔地鐵旁會展5分鐘,129657142,Ck,Wan Chai,22.27556136,114.1749229,Private room,400,2,11,12/11/2018,2.64,1,233
28261576,Rare Find! Cozy Spacious Home in heart of CWB,1247737,Lyn,Wan Chai,22.28087547,114.1841511,Entire home/apt,1300,2,7,12/11/2018,7,1,114
27413894,单间公寓(同坚尼地城小苑),141243826,Kehao,Central & Western,22.28071693,114.136132,Private room,298,1,7,12/11/2018,2.16,1,39
28875150,"Cozy, comfortable, convenient studio in Mong Kok",11959199,Ivan,Kowloon City,22.31859724,114.1736179,Entire home/apt,564,3,6,12/11/2018,4.39,1,62
26110056,Romantic roof top flat of a duplex in Hong Kong,34250896,Li,Yuen Long,22.45803861,114.0053756,Private room,298,1,6,12/11/2018,1.25,1,311
25645963,Wan Chai. King size bed in Double room. 5 min MTR,171489105,Luis Alfonso,Wan Chai,22.27976413,114.1792636,Private room,447,2,5,12/11/2018,5,1,30
27763802,Hotel Apt- 1min walk to HungHom subway,209628823,Jacqueline,Yau Tsim Mong,22.30137832,114.183989,Private room,439,2,3,12/11/2018,2.25,1,52
26981094,Apart'O Top -> Cozy Appart' with Nice Rooftop !,44093339,Romain,Wan Chai,22.27772917,114.1926214,Entire home/apt,791,1,3,12/11/2018,0.89,1,23
26174359,Cosy room - ABERDEEN,20949991,Matthieu,Southern,22.24867278,114.1550306,Private room,439,1,2,12/11/2018,1.58,1,221
29532661,"Cute apartment with big terrace, central location",222377547,Lea,Central & Western,22.28008827,114.152294,Entire home/apt,1496,2,1,12/11/2018,1,1,66
29951980,I'm like Jordan when it's crunch time,225192549,Yioao,Sham Shui Po,22.33745287,114.140567,Entire home/apt,588,1,1,12/11/2018,1,1,10
29951556,Многоквартирный дом в г. New territories (hk),225188851,Виктор,Tsuen Wan,22.39279931,114.1111492,Entire home/apt,517,1,1,12/11/2018,1,1,5
8637229,"香港 Hong Kong
長洲 Cheung Chau lsland",43233075,Chan,Islands,22.20744149,114.0293421,Entire home/apt,603,1,542,11/11/2018,14.33,1,66
10047479,NEW Renovated Studio just for you♡,51566810,Tim,Wan Chai,22.27936144,114.1764616,Entire home/apt,501,1,172,11/11/2018,4.87,1,133
16525537,small cosy room with a nice view.,107353067,Lola,Islands,22.28912864,113.9505317,Private room,400,1,168,11/11/2018,7.48,1,320
18622425,♛Cosy Apartment Fully Equipped w/ 1 bedroom♛,129369738,Betty,Yau Tsim Mong,22.29616503,114.1737806,Entire home/apt,321,1,141,11/11/2018,7.66,1,155
20525945,"Private room,Airport, Cable car,Buddha,Disney Land",146547143,Asha And KK,Islands,22.29171495,113.9511569,Private room,478,1,136,11/11/2018,9.17,1,19
18142109,3mins to CWB Station quiet 2Bed apt near Times Sq,21520535,Charlie & Iris,Wan Chai,22.27865546,114.1828339,Entire home/apt,1097,1,108,11/11/2018,5.72,1,55
21106874,3min to Tsim Sha Tsui Station clean&cozy apartment,105804498,Travis,Yau Tsim Mong,22.30062623,114.1737745,Private room,282,1,96,11/11/2018,7.31,1,46
5959060,Village House in Local Neighborhood,30934067,Joe,Islands,22.26552963,113.9954395,Entire home/apt,454,2,93,11/11/2018,2.16,1,339
21034592,"清新乾淨,环境又好,地方又大｡",137202104,Cm,Yuen Long,22.45776278,114.0038517,Private room,329,1,73,11/11/2018,5.35,1,199
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,Wan Chai,22.27812036,114.1818279,Entire home/apt,783,2,69,11/11/2018,1.13,1,9
23313300,★★ Lovely Budget Studio ★★ Jordan TST,119173079,Maya,Yau Tsim Mong,22.3052018,114.172336,Entire home/apt,478,1,63,11/11/2018,7.5,1,103
23618480,Cozy Studio in Tsim Sha Tsui,176705964,Palmyre,Yau Tsim Mong,22.30166469,114.1761103,Entire home/apt,478,1,55,11/11/2018,6.88,1,126
23531374,★★ SIGNATURE STUDIO ★★ Tsim Sha Tsui,49844407,Dani,Yau Tsim Mong,22.29896833,114.175066,Entire home/apt,548,1,54,11/11/2018,6.38,1,122
24846326,"銅鑼灣地鐵站旁, 新装兩房, 崇光百貨步行3分鐘, 時代廣場步行5分鐘",149713942,Ryan,Wan Chai,22.28183007,114.1832291,Entire home/apt,901,1,53,11/11/2018,9.64,1,13
23908681,Good room,160947102,Sunny,Eastern,22.28910082,114.1967125,Private room,353,2,48,11/11/2018,6.34,1,59
20582542,Times Square/CausewayBay/HappyValley-Modern studio,147043347,Anja & Alex,Wan Chai,22.27654999,114.1839559,Entire home/apt,697,4,47,11/11/2018,3.2,1,99
22949667,摩登@部屋 Somewhere In Time ! For 1 to 6 persons,129082030,茱迪,Yau Tsim Mong,22.29664518,114.1728857,Entire home/apt,1199,1,43,11/11/2018,5.35,1,14
17896599,"Bright, quiet, stylish, comfy, 1 min to metro!",3398820,Yin,Central & Western,22.28615211,114.1424064,Entire home/apt,611,3,39,11/11/2018,2,1,28
11802666,Single Bed Room in a cozy house,45491293,Jim,Yuen Long,22.45385579,114.0252722,Private room,282,1,39,11/11/2018,2.68,1,254
23241988,Bright bedroom next to Kowloon Park/Jordan,108214825,Ning & Thibault,Yau Tsim Mong,22.3039363,114.1688577,Private room,353,3,38,11/11/2018,4.25,1,24
21747078,Luxury Designer Studio-5 min MTR & 10 min CBD,97630639,Tina,Central & Western,22.28389366,114.1324571,Entire home/apt,799,2,37,11/11/2018,3.3,1,320
3458287,5/FL walk-up luxury studio + roof,17428879,Toni,Sai Kung,22.38224374,114.2737738,Entire home/apt,1097,2,35,11/11/2018,1,1,193
23080152,Spacious and convenient in Causeway Bay,49541904,Eric,Wan Chai,22.28133342,114.1865531,Entire home/apt,1018,2,31,11/11/2018,3.48,1,48
17912796,Spacious home in Soho & Noho area,122791658,See,Central & Western,22.28520113,114.152702,Entire home/apt,893,2,30,11/11/2018,1.55,1,314
18795543,Bright and cozy room in Wanchai,15593924,Cynthia & Ivan,Wan Chai,22.27637015,114.17094,Private room,603,2,30,11/11/2018,2.08,1,22
22736372,⭐⭐⭐⭐⭐ Luxury - Downtown HK - Stunning Views,167858461,Lindsay,Yau Tsim Mong,22.29590658,114.1749838,Entire home/apt,1700,3,27,11/11/2018,2.8,1,29
23737305,温馨舒适方便的民宿,177983715,Bernard,Wan Chai,22.27846464,114.1788551,Entire home/apt,1199,1,25,11/11/2018,3.21,1,220
13167606,Stylish Spacious Private Bedroom near Causeway Bay,41436486,Brian,Eastern,22.28693727,114.1930954,Private room,572,1,25,11/11/2018,2.04,1,27
20364521,Cozy 4 bedroom apt in the heart of Causeway Bay,145260447,WendyChan,Wan Chai,22.27853597,114.1808087,Entire home/apt,799,3,24,11/11/2018,1.68,1,28
